done	paperID	source	reject	rejectRationale	traitDataOnly	inPapers	author1	author2	author3	year	title	journal	doi
	260	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Kirkpatrick	 Lubetkin		2011	Responses of Native and Introduced Plant Species to Sucrose Addition in Puget Lowland Prairies	NORTHWEST SCIENCE	10.3955/046.085.0214
	261	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Mattingly	 Swedo	 Reynolds	2010	Interactive effects of resource enrichment and resident diversity on invasion of native grassland by Lolium arundinaceum	PLANT ECOLOGY	10.1007/s11258-009-9665-5
	262	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Dodson	 Peterson	 Harrod	2010	"Impacts of erosion control treatments on native vegetation recovery after severe wildfire in the Eastern Cascades, USA"	INTERNATIONAL JOURNAL OF WILDLAND FIRE	10.1071/WF08194
	263	search1_111714	No			Yes	Yu	 Huang	 Duan	2014	Impacts of Ageratina adenophora invasion on soil physical-chemical properties of Eucalyptus plantation and implications for constructing agro-forest ecosystem	ECOLOGICAL ENGINEERING	10.1016/j.ecoleng.2013.12.050
	264	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Balogianni	 Wilson	 Vaness	2014	Different Root and Shoot Responses to Mowing and Fertility in Native and Invaded Grassland	RANGELAND ECOLOGY & MANAGEMENT	10.2111/REM-D-13-00080.1
	265	search1_111714	No			Yes	Jaeger	 Alencastro	 Kaupenjohann	2013	Ecosystem changes in Galapagos highlands by the invasive tree Cinchona pubescens	PLANT AND SOIL	10.1007/s11104-013-1719-8
	266	search1_111714	No			Yes	Zhang	 Jia	 Chen	2013	Crabs Mediate Interactions between Native and Invasive Salt Marsh Plants: A Mesocosm Study	PLOS ONE	10.1371/journal.pone.0074095
	267	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Imada	 Taniguchi	 Acharya	2013	Vertical distribution of fine roots of Tamarix ramosissima in an arid region of southern Nevada	JOURNAL OF ARID ENVIRONMENTS	10.1016/j.jaridenv.2013.01.006
	268	search1_111714	No			Yes	Dickens	 Allen	 Santiago	2013	Exotic annuals reduce soil heterogeneity in coastal sage scrub soil chemical and biological characteristics	SOIL BIOLOGY & BIOCHEMISTRY	10.1016/j.soilbio.2012.09.028
	269	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Laungani	 Knops		2012	Microbial immobilization drives nitrogen cycling differences among plant species	OIKOS	10.1111/j.1600-0706.2011.20434.x
	270	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Vallano	 Selmants	 Zavaleta	2012	Simulated nitrogen deposition enhances the performance of an exotic grass relative to native serpentine grassland competitors	PLANT ECOLOGY	10.1007/s11258-012-0061-1
	271	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Leskovsek	 Eler	 Batic	2012	"The influence of nitrogen, water and competition on the vegetative and reproductive growth of common ragweed (Ambrosia artemisiifolia L.)"	PLANT ECOLOGY	10.1007/s11258-012-0040-6
	272	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Gaertner	 Nottebrock	 Fourie	2012	"Plant invasions, restoration, and economics: Perspectives from South African fynbos"	PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	10.1016/j.ppees.2012.05.001
	273	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Goergen	 Chambers		2012	Facilitation and interference of seedling establishment by a native legume before and after wildfire	OECOLOGIA	10.1007/s00442-011-2075-0
	274	search1_111714	Yes	Soil nitrogen is strictly an independent variable		Yes	Jones	 Chapman		2011	The roles of biotic resistance and nitrogen deposition in regulating non-native understory plant diversity	PLANT AND SOIL	10.1007/s11104-011-0778-y
	275	search1_111714	No			Yes	Tsai	 Sun	 Chen	2010	The impact of naturalized legumes on plant communities in Northern Taiwan: are we worrying too much?	PLANT ECOLOGY	10.1007/s11258-010-9782-1
	276	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Iannone	 Galatowitsch	 Rosen	2008	Evaluation of resource-limiting strategies intended to prevent Phalaris arundinacea (reed canarygrass) invasions in restored sedge meadows	ECOSCIENCE	10.2980/15-4-3190
	277	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Concilio	 Loik		2013	Elevated nitrogen effects on Bromus tectorum dominance and native plant diversity in an arid montane ecosystem	APPLIED VEGETATION SCIENCE	10.1111/avsc.12029
	278	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Young	 Roundy	 Eggett	2013	Plant Establishment in Masticated Utah Juniper Woodlands	RANGELAND ECOLOGY & MANAGEMENT	10.2111/REM-D-12-00094.1
	279	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Li	 Zuo	 Knops	2013	Different Fire Frequency Impacts Over 27 Years on Vegetation Succession in an Infertile Old-Field Grassland	RANGELAND ECOLOGY & MANAGEMENT	10.2111/REM-D-11-00226.1
	280	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Cheng	 Chen	 Huang	2013	Effects of repeated fires on ecosystem C and N stocks along a fire induced forest/grassland gradient	JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES	10.1002/jgrg.20019
	281	search1_111714	No			Yes	Bai	 Boutton	 Liu	2013	N-15 isoscapes in a subtropical savanna parkland: spatial-temporal perspectives	ECOSPHERE	10.1890/ES12-00187.1
	282	search1_111714	No			Yes	Lyons	 Maldonado-Leal	 Owen	2013	Community and Ecosystem Effects of Buffelgrass (Pennisetum ciliare) and Nitrogen Deposition in the Sonoran Desert	INVASIVE PLANT SCIENCE AND MANAGEMENT	10.1614/IPSM-D-11-00071.1
	283	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Vourlitis	 Kroon		2013	"Growth and Resource Use of the Invasive Grass, Pampasgrass (Cortaderia selloana), in Response to Nitrogen and Water Availability"	WEED SCIENCE	10.1614/WS-D-11-00220.1
	284	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Jamieson	 Seastedt	 Bowers	2012	NITROGEN ENRICHMENT DIFFERENTIALLY AFFECTS ABOVE- AND BELOWGROUND PLANT DEFENSE	AMERICAN JOURNAL OF BOTANY	10.3732/ajb.1100492
	285	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Jamieson	 Knochel	 Manrique	2012	"Top-down and bottom-up controls on Dalmatian toadflax (Linaria dalmatica) performance along the Colorado Front Range, USA"	PLANT ECOLOGY	10.1007/s11258-011-0013-1
	286	search1_111714	No			Yes	Blank	 Morgan		2012	Mineral Nitrogen in a Crested Wheatgrass Stand: Implications for Suppression of Cheatgrass	RANGELAND ECOLOGY & MANAGEMENT	10.2111/REM-D-10-00142.1
	287	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Seabloom	 Benfield	 Borer	2011	"Provenance, life span, and phylogeny do not affect grass species' responses to nitrogen and phosphorus"	ECOLOGICAL APPLICATIONS	10.1890/10-1911.1
	288	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Fornwalt	 Rhoades		2011	Rehabilitating Slash Pile Burn Scars in Upper Montane Forests of The Colorado Front Range	NATURAL AREAS JOURNAL	
	289	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Quinn	 Quinn	 Kolipinski	2010	Role of Horses as Potential Vectors of Non-native Plant Invasion: an Overview	NATURAL AREAS JOURNAL	10.3375/043.030.0406
	290	search1_111714	Yes	Review			Raghubanshi			2008	Nitrogen cycling in Indian terrestrial natural ecosystems	CURRENT SCIENCE	
	291	search1_111714	Yes	Cannot obtain pdf			White	 Loftin	 Hofstad	1999	"Response of vegetation, soil nitrogen, and sediment transport to a prescribed fire in semiarid grasslands"	"RIO GRANDE ECOSYSTEMS: LINKING LAND, WATER, AND PEOPLE: TOWARD A SUSTAINABLE FUTURE FOR THE MIDDLE RIO GRANDE BASIN"	
	292	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Mattingly	 Reynolds		2014	Soil fertility alters the nature of plant-resource interactions in invaded grassland communities	BIOLOGICAL INVASIONS	10.1007/s10530-014-0678-1
	293	search1_111714	No			Yes	Dickens	 Allen		2014	Soil nitrogen cycling is resilient to invasive annuals following restoration of coastal sage scrub	JOURNAL OF ARID ENVIRONMENTS	10.1016/j.jaridenv.2014.05.009
	294	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Gornish			2014	"Demographic effects of warming, elevated soil nitrogen and thinning on the colonization of a perennial plant"	POPULATION ECOLOGY	10.1007/s10144-014-0442-5
	295	search1_111714	No			Yes	Staska	 Essl	 Samimi	2014	Density and age of invasive Robinia pseudoacacia modulate its impact on floodplain forests	BASIC AND APPLIED ECOLOGY	10.1016/j.baae.2014.07.010
	296	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Toeroek	 Szitar	 Halassy	2014	Long-term outcome of nitrogen immobilization to restore endemic sand grassland in Hungary	JOURNAL OF APPLIED ECOLOGY	10.1111/1365-2664.12220
	297	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	McGovern	 Evans	 Dennis	2014	Increased inorganic nitrogen leaching from a mountain grassland ecosystem following grazing removal: a hangover of past intensive land-use?	BIOGEOCHEMISTRY	10.1007/s10533-014-9952-7
	298	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Augustine	 Brewer	 Blumenthal	2014	"Prescribed fire, soil inorganic nitrogen dynamics, and plant responses in a semiarid grassland"	JOURNAL OF ARID ENVIRONMENTS	10.1016/j.jaridenv.2014.01.022
	299	search1_111714	No			Yes	Cusack	 McCleery		2014	Patterns in understory woody diversity and soil nitrogen across native- and non-native-urban tropical forests	FOREST ECOLOGY AND MANAGEMENT	10.1016/j.foreco.2013.12.036
	300	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Caplan	 Wheaton	 Mozdzer	2014	Belowground advantages in construction cost facilitate a cryptic plant invasion	AOB PLANTS	10.1093/aobpla/plu020
	301	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Dommanget	 Evette	 Spiegelberger	2014	Differential allelopathic effects of Japanese knotweed on willow and cottonwood cuttings used in riverbank restoration techniques	JOURNAL OF ENVIRONMENTAL MANAGEMENT	10.1016/j.jenvman.2013.10.024
	302	search1_111714	No			Yes	Si	 Liu	 Wang	2013	Different Degrees of Plant Invasion Significantly Affect the Richness of the Soil Fungal Community	PLOS ONE	10.1371/journal.pone.0085490
	303	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Martina	 von Ende		2013	"Increased spatial dominance in high nitrogen, saturated soil due to clonal architecture plasticity of the invasive wetland plant, Phalaris arundinacea"	PLANT ECOLOGY	10.1007/s11258-013-0265-z
	304	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Wang	 Ge	 Zhang	2013	Dominant Functional Group Effects on the Invasion Resistance at Different Resource Levels	PLOS ONE	10.1371/journal.pone.0077220
	305	search1_111714	No			Yes	Hickman	 Lerdau		2013	Biogeochemical impacts of the northward expansion of kudzu under climate change: the importance of ecological context	ECOSPHERE	10.1890/ES13-00142.1
	306	search1_111714	No			Yes	Von Holle	 Neill	 Largay	2013	Ecosystem legacy of the introduced N-2-fixing tree Robinia pseudoacacia in a coastal forest	OECOLOGIA	10.1007/s00442-012-2543-1
	307	search1_111714	No	"Cannot obtain pdf, but the abstract looks like it may have useful data"			Irl	 Jentsch	 Walther	2013	"Papaver croceum Ledeb.: a rare example of an alien species in alpine environments of the Upper Engadine, Switzerland"	ALPINE BOTANY	10.1007/s00035-013-0111-x
	308	search1_111714	Yes	Soil nitrogen is strictly an independent variable			Orloff	 Mangold	 Menalled	2013	Role of Size and Nitrogen in Competition between Annual and Perennial Grasses	INVASIVE PLANT SCIENCE AND MANAGEMENT	10.1614/IPSM-D-12-00035.1
	309	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Scarlett	 Guest	 Daniel	2013	Elevated soil nitrogen increases the severity of dieback due to Phytophthora cinnamomi	AUSTRALASIAN PLANT PATHOLOGY	10.1007/s13313-012-0173-z
	310	search1_111714	Yes	Soil nitrogen is strictly an independent variable			He	 Montesinos	 Thelen	2012	Growth and Competitive Effects of Centaurea stoebe Populations in Response to Simulated Nitrogen Deposition	PLOS ONE	10.1371/journal.pone.0036257
	311	search1_111714	No			Yes	Corbin	 D'Antonio		2011	Abundance and productivity mediate invader effects on nitrogen dynamics in a California grassland	ECOSPHERE	10.1890/ES10-00113.1
	312	search1_111714	Yes	Duplicate of 145			Abraham	 Corbin	 D'Antonio	2009	"California native and exotic perennial grasses differ in their response to soil nitrogen, exotic annual grass density, and order of emergence"	HERBACEOUS PLANT ECOLOGY: RECENT ADVANCES IN PLANT ECOLOGY	10.1007/978-90-481-2798-6_7
	313	search1_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Su	 Han	 Qu	2000	Peashrub community may accelerate the successional process in a meadowland-peashrub-birch sere	ACTA BOTANICA SINICA	
	314	search2_111714	Yes	Already picked up by search1_111714			MILCHUNAS	LAUENROTH		1993	QUANTITATIVE EFFECTS OF GRAZING ON VEGETATION AND SOILS OVER A GLOBAL RANGE OF ENVIRONMENTS	ECOLOGICAL MONOGRAPHS	10.2307/2937150
	315	search2_111714	No			Yes	Schlesinger	Raikes	Hartley	1996	On the spatial pattern of soil nutrients in desert ecosystems	ECOLOGY	10.2307/2265615
	316	search2_111714	Yes	Already picked up by search1_111714			Levine	Vila	D'Antonio	2003	Mechanisms underlying the impacts of exotic plant invasions	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	10.1098/rspb.2003.2327
	317	search2_111714	"Yes, but CHECK FOR MISSING REFS"	Review		Yes	Ehrenfeld			2003	Effects of exotic plant invasions on soil nutrient cycling processes	ECOSYSTEMS	10.1007/s10021-002-0151-3
	318	search2_111714	Yes	Already picked up by Liao			Ehrenfeld	Kourtev	Huang	2001	Changes in soil functions following invasions of exotic understory plants in deciduous forests	ECOLOGICAL APPLICATIONS	10.2307/3060920
	319	search2_111714	Yes	Already picked up by search1_111714			ARCHER			1995	TREE-GRASS DYNAMICS IN A PROSOPIS-THORNSCRUB SAVANNA PARKLAND - RECONSTRUCTING THE PAST AND PREDICTING THE FUTURE	ECOSCIENCE	
	320	search2_111714	Yes	Already picked up by search1_111714			Liao	Peng	Luo	2008	Altered ecosystem carbon and nitrogen cycles by plant invasion: a meta-analysis	NEW PHYTOLOGIST	10.1111/j.1469-8137.2007.02290.x
	321	search2_111714	Yes	Already picked up by search1_111714			Davies	Chesson	Harrison	2005	Spatial heterogeneity explains the scale dependence of the native-exotic diversity relationship	ECOLOGY	10.1890/04-1196
	322	search2_111714	Yes	Already picked up by search1_111714			Blumenthal	Jordan	Russelle	2003	Soil carbon addition controls weeds and facilitates prairie restoration	ECOLOGICAL APPLICATIONS	10.1890/1051-0761(2003)013[0605:SCACWA]2.0.CO;2
	323	search2_111714	Yes	Already picked up by Liao			Hawkes	Wren	Herman	2005	Plant invasion alters nitrogen cycling by modifying the soil nitrifying community	ECOLOGY LETTERS	10.1111/j.1461-0248.2005.00802.x
	324	search2_111714	Yes	Review		Yes	Schenk			2006	Root competition: beyond resource depletion	JOURNAL OF ECOLOGY	10.1111/j.1365-2745.2006.01124.x
	325	search2_111714	Yes	Already picked up by Liao			STOCK	WIENAND	BAKER	1995	IMPACTS OF INVADING N-2-FIXING ACACIA SPECIES ON PATTERNS OF NUTRIENT CYCLING IN 2 CAPE ECOSYSTEMS - EVIDENCE FROM SOIL INCUBATION STUDIES AND N-15 NATURAL-ABUNDANCE VALUES	OECOLOGIA	10.1007/BF00328825
	326	search2_111714	Yes	Already picked up by search1_111714			Brooks			2003	Effects of increased soil nitrogen on the dominance of alien annual plants in the Mojave Desert	JOURNAL OF APPLIED ECOLOGY	10.1046/j.1365-2664.2003.00789.x
y	327	search2_111714	No			Yes	Yelenik	Stock	Richardson	2004	Ecosystem level impacts of invasive Acacia saligna in the South African fynbos	RESTORATION ECOLOGY	10.1111/j.1061-2971.2004.00289.x
	328	search2_111714	"Yes, but CHECK FOR MISSING REFS"	Review		Yes	Jobbagy	Jackson		2004	The uplift of soil nutrients by plants: Biogeochemical consequences across scales	ECOLOGY	10.1890/03-0245
	329	search2_111714	Yes	Already picked up by search1_111714			Mack	D'Antonio	Ley	2001	Alteration of ecosystem nitrogen dynamics by exotic plants: A case study of C-4 grasses in Hawaii	ECOLOGICAL APPLICATIONS	10.2307/3060923
	330	search2_111714	Yes	Already picked up by search1_111714			Kaye	Hart		1998	Ecological restoration alters nitrogen transformations in a ponderosa pine bunchgrass ecosystem	ECOLOGICAL APPLICATIONS	10.2307/2640960
	331	search2_111714	Yes	Already picked up by search1_111714			Shumway			2000	Facilitative effects of a sand dune shrub on species growing beneath the shrub canopy	OECOLOGIA	10.1007/s004420050033
	332	search2_111714	Yes	Already picked up by search1_111714			D'Antonio	Hughes	Mack	1998	The response of native species to removal of invasive exotic grasses in a seasonally dry Hawaiian woodland	JOURNAL OF VEGETATION SCIENCE	10.2307/3237288
	333	search2_111714	Yes	Already picked up by Liao			Hughes	Denslow		2005	Invasion by a N-2-fixing tree alters function and structure in wet lowland forests of Hawaii	ECOLOGICAL APPLICATIONS	10.1890/04-0874
	334	search2_111714	Yes	Already picked up by search1_111714			Siemann	Rogers		2003	Changes in light and nitrogen availability under pioneer trees may indirectly facilitate tree invasions of grasslands	JOURNAL OF ECOLOGY	10.1046/j.1365-2745.2003.00822.x
	335	search2_111714	Yes	Review			Sage	Kubien		2003	Quo vadis C-4? An ecophysiological perspective on global change and the future of C4 plants	PHOTOSYNTHESIS RESEARCH	10.1023/A:1025882003661
	336	search2_111714	Yes	Already picked up by search1_111714			Prober	Thiele	Lunt	2005	"Restoring ecological function in temperate grassy woodlands: manipulating soil nutrients, exotic annuals and native perennial grasses through carbon supplements and spring burns"	JOURNAL OF APPLIED ECOLOGY	10.1111/j.1365-2664.2005.01095.x
	337	search2_111714	Yes	Already picked up by Liao			Mack	D'Antonio		2003	Exotic grasses alter controls over soil nitrogen dynamics in a Hawaiian woodland	ECOLOGICAL APPLICATIONS	10.1890/1051-0761(2003)013[0154:EGACOS]2.0.CO;2
	338	search2_111714	Yes	Already picked up by Liao			Mitchell	Marrs	Le	1997	"A study of succession on lowland heaths in Dorset, southern England: Changes in vegetation and soil chemical properties"	JOURNAL OF APPLIED ECOLOGY	10.2307/2405259
	339	search2_111714	"Yes, but CHECK FOR MISSING REFS"	Review		Yes	Van Auken			2009	Causes and consequences of woody plant encroachment into western North American grasslands	JOURNAL OF ENVIRONMENTAL MANAGEMENT	10.1016/j.jenvman.2009.04.023
	340	search2_111714	Yes	Already picked up by Liao			Morghan	Seastedt		1999	Effects of soil nitrogen reduction on nonnative plants in restored grasslands	RESTORATION ECOLOGY	10.1046/j.1526-100X.1999.07106.x
	341	search2_111714	Yes	Already picked up by search1_111714			Maron	Jeffries		2001	"Restoring enriched grasslands: Effects of mowing on species richness, productivity, and nitrogen retention"	ECOLOGICAL APPLICATIONS	10.2307/3061014
	342	search2_111714	Yes	Already picked up by search1_111714			Hale	Frelich	Reich	2005	"Effects of european earthworm invasion on soil characteristics in northern hardwood forests of Minnesota, USA"	ECOSYSTEMS	10.1007/s10021-005-0066-x
	343	search2_111714	Yes	Already picked up by Liao			Windham	Ehrenfeld		2003	Net impact of a plant invasion on nitrogen-cycling processes within a brackish tidal marsh	ECOLOGICAL APPLICATIONS	10.1890/02-5005
	344	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Kizlinski	Orwig	Cobb	2002	Direct and indirect ecosystem consequences of an invasive pest on forests dominated by eastern hemlock	JOURNAL OF BIOGEOGRAPHY	10.1046/j.1365-2699.2002.00766.x
	345	search2_111714	Yes	Already picked up by search1_111714			Maron	Jefferies		1999	"Bush lupine mortality, altered resource availability, and alternative vegetation states"	ECOLOGY	
	346	search2_111714	Yes	Review			Ellis			2005	"Marine birds on land: a review of plant biomass, species richness, and community composition in seabird colonies"	PLANT ECOLOGY	10.1007/s11258-005-7147-y
	347	search2_111714	Yes	Already picked up by Liao			Sperry	Belnap	Evans	2006	Bromus tectorum invasion alters nitrogen dynamics in an undisturbed arid grassland ecosystem	ECOLOGY	10.1890/05-0836
	348	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Hooper	Legendre	Condit	2005	Barriers to forest regeneration of deforested and abandoned land in Panama	JOURNAL OF APPLIED ECOLOGY	10.1111/j.1365-2664.2005.01106.x
	349	search2_111714	Yes	Already picked up by search1_111714			Suding	LeJeune	Seastedt	2004	Competitive impacts and responses of an invasive weed: dependencies on nitrogen and phosphorus availability	OECOLOGIA	10.1007/s00442-004-1678-0
	350	search2_111714	Yes	Already picked up by search1_111714			JAMES			1991	"SOIL, NITROGEN, PHOSPHORUS, AND ORGANIC-MATTER PROCESSING BY EARTHWORMS IN TALLGRASS PRAIRIE"	ECOLOGY	10.2307/1941562
	351	search2_111714	Yes	Review			Li	Liao	Zhang	2009	"Spartina alterniflora invasions in the Yangtze River estuary, China: An overview of current status and ecosystem effects"	ECOLOGICAL ENGINEERING	10.1016/j.ecoleng.2008.05.013
	352	search2_111714	Yes	Not on invasive plants			SCHEU	PARKINSON		1994	EFFECTS OF INVASION OF AN ASPEN FOREST (CANADA) BY DENDROBAENA-OCTAEDRA (LUMBRICIDAE) ON PLANT-GROWTH	ECOLOGY	10.2307/1940889
	353	search2_111714	No			Yes	Rice	Westerman	Federici	2004	"Impacts of the exotic, nitrogen-fixing black locust (Robinia pseudoacacia) on nitrogen-cycling in a pine-oak ecosystem"	PLANT ECOLOGY	10.1023/B:VEGE.0000046049.21900.5a
	354	search2_111714	No			Yes	Joanisse	Bradley	Preston	2007	Soil enzyme inhibition by condensed litter tannins may drive ecosystem structure and processes: the case of Kalmia angustifolia	NEW PHYTOLOGIST	10.1111/j.1469-8137.2007.02113.x
	355	search2_111714	Yes	Soil nitrogen is strictly an independent variable			Lau	Puliafico	Kopshever	2008	Inference of allelopathy is complicated by effects of activated carbon on plant growth	NEW PHYTOLOGIST	10.1111/j.1469-8137.2007.02360.x
	356	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Morgan			1998	Patterns of invasion of an urban remnant of a species-rich grassland in southeastern Australia by non-native plant species	JOURNAL OF VEGETATION SCIENCE	10.2307/3237117
	357	search2_111714	Yes	Already picked up by search1_111714			Monaco	Johnson	Norton	2003	Contrasting responses of intermountain west grasses to soil nitrogen	JOURNAL OF RANGE MANAGEMENT	10.2307/4003820
	358	search2_111714	Yes	Already picked up by Liao			Belnap	Phillips	Sherrod	2005	Soil biota can change after exotic plant invasion: does this affect ecosystem processes?	ECOLOGY	10.1890/05-0333
	359	search2_111714	Yes	Already picked up by Liao			Farnsworth	Meyerson		2003	Comparative ecophysiology of four wetland plant species along a continuum of invasiveness	WETLANDS	10.1672/0277-5212(2003)023[0750:CEOFWP]2.0.CO;2
	360	search2_111714	Yes	Already picked up by search1_111714			Murray	Parslow		1999	Modelling of nutrient impacts in Port Phillip Bay - a semi-enclosed marine Australian ecosystem	MARINE AND FRESHWATER RESEARCH	10.1071/MF98087
	361	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	INOUYE	ALLISON	JOHNSON	1994	OLD FIELD SUCCESSION ON A MINNESOTA SAND PLAIN - EFFECTS OF DEER AND OTHER FACTORS ON INVASION BY TREES	BULLETIN OF THE TORREY BOTANICAL CLUB	10.2307/2997181
	362	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species			Rentch	Fortney	Stephenson	2005	"Vegetation-site relationships of roadside plant communities in West Virginia, USA"	JOURNAL OF APPLIED ECOLOGY	10.1111/j.1365-2664.2004.00993.x
	363	search2_111714	Yes	Already picked up by search1_111714			Wang Qing	An	Ma	2006	"Invasive Spartina alterniflora: biology, ecology and management"	ACTA PHYTOTAXONOMICA SINICA	10.1360/aps06044
	364	search2_111714	Yes	Already picked up by search1_111714			Howard	Gurevitch	Hyatt	2004	Forest invasibility in communities in southeastern New York	BIOLOGICAL INVASIONS	10.1023/B:BINV.0000041559.67560.7e
	365	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	REYNOLDS	PACALA		1993	AN ANALYTICAL TREATMENT OF ROOT-TO-SHOOT RATIO AND PLANT COMPETITION FOR SOIL NUTRIENT AND LIGHT	AMERICAN NATURALIST	10.1086/285460
	366	search2_111714	Yes	Already picked up by Liao			MUSIL			1993	"EFFECT OF INVASIVE AUSTRALIAN ACACIAS ON THE REGENERATION, GROWTH AND NUTRIENT CHEMISTRY OF SOUTH-AFRICAN LOWLAND FYNBOS"	JOURNAL OF APPLIED ECOLOGY	10.2307/2404637
	367	search2_111714	Yes	Soil nitrogen is strictly an independent variable			HOBBS	ATKINS		1991	INTERACTIONS BETWEEN ANNUALS AND WOODY PERENNIALS IN A WESTERN-AUSTRALIAN NATURE-RESERVE	JOURNAL OF VEGETATION SCIENCE	10.2307/3236175
	368	search2_111714	"Yes, but CHECK FOR MISSING REFS"	Review		Yes	Weidenhamer	Callaway		2010	Direct and Indirect Effects of Invasive Plants on Soil Chemistry and Ecosystem Function	JOURNAL OF CHEMICAL ECOLOGY	10.1007/s10886-009-9735-0
	369	search2_111714	Yes	Already picked up by search1_111714			McKinley	Blair		2008	Woody plant encroachment by Juniperus virginiana in a mesic native grassland promotes rapid carbon and nitrogen accrual	ECOSYSTEMS	10.1007/s10021-008-9133-4
	370	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	Ravit	Ehrenfeld	Haggblom	2003	A comparison of sediment microbial communities associated with Phragmites australis and Spartina alterniflora in two brackish wetlands of New Jersey	ESTUARIES	10.1007/BF02823723
	371	search2_111714	Yes	Already picked up by search1_111714			Rickey	Anderson		2004	Effects of nitrogen addition on the invasive grass Phragmites australis and a native competitor Spartina pectinata	JOURNAL OF APPLIED ECOLOGY	10.1111/j.0021-8901.2004.00948.x
	372	search2_111714	Yes	Already picked up by search1_111714			Maron	Marler		2008	Field-based competitive impacts between invaders and natives at varying resource supply	JOURNAL OF ECOLOGY	10.1111/j.1365-2745.2008.01440.x
	373	search2_111714	No			Yes	Peltzer	Bellingham	Kurokawa	2009	Punching above their weight: low-biomass non-native plant species alter soil properties during primary succession	OIKOS	10.1111/j.1600-0706.2009.17244.x
	374	search2_111714	Yes	Already picked up by search1_111714			Groffman	Bohlen	Fisk	2004	Exotic earthworm invasion and microbial biomass in temperate forest soils	ECOSYSTEMS	10.1007/s10021-003-0129-9
	375	search2_111714	Yes	Already picked up by search1_111714			Pardo	Fenn	Goodale	2011	Effects of nitrogen deposition and empirical nitrogen critical loads for ecoregions of the United States	ECOLOGICAL APPLICATIONS	
	376	search2_111714	Yes	Already picked up by search1_111714			WARDLE	NICHOLSON	AHMED	1994	INTERFERENCE EFFECTS OF THE INVASIVE PLANT CARDUUS-NUTANS L AGAINST THE NITROGEN-FIXATION ABILITY OF TRIFOLIUM-REPENS L	PLANT AND SOIL	10.1007/BF00007978
	377	search2_111714	Yes	No soil nitrogen measurements presented under invasive and reference species		Yes	James	Davies	Sheley	2008	Linking nitrogen partitioning and species abundance to invasion resistance in the Great Basin	OECOLOGIA	10.1007/s00442-008-1015-0
	378	search2_111714	Yes	Already picked up by search1_111714			Corbin	D'Antonio		2004	Effects of exotic species on soil nitrogen cycling: Implications for restoration	WEED TECHNOLOGY	10.1614/0890-037X(2004)018[1464:EOESOS]2.0.CO;2
	379	search2_111714	Yes	Already picked up by Liao			Cushman	Tierney	Hinds	2004	Variable effects of feral pig disturbances on native and exotic plants in a California grassland	ECOLOGICAL APPLICATIONS	10.1890/03-5142
