obsID	measEntryID	measCat	measUnit	measVarType	measRef	measImageFile	measAggNum	measAggNote	measInvMean	measInvVar	measInvN	measNatMean	measNatVar	measNatN	measNote	measMethod
156.01	1	ammonif	ug/g*d	SE	Table 1				0.58	0.35	5	0.36	0.07	5		
156.01	2	nitrif	ug/g*d	SE	Table 1				5.09	3.22	5	4.11	2.55	5		
156.01	3	nminz	ug/g*d	SE	Table 1				5.68	1.48	5	4.48	2.49	5		
156.01	4	soiln	%	SE	Table 1				0.17	0.03	5	0.17	0.04	5		
156.01	5	soilcn	NA	SE	Table 1		1	Divide %C by %N	AGG	AGG	AGG	AGG	AGG	AGG		
156.01	6	biom	g	SE	Table 2		2	Average 3 sites	AGG	AGG	AGG	AGG	AGG	AGG		
156.01	7	percN	%	SE	Table 2		3	Average 3 sites	AGG	AGG	AGG	AGG	AGG	AGG		
156.01	8	cn	NA	SE	Table 2		4	"Average 3 sites for %C and %N, Divide %C by %N"	AGG	AGG	AGG	AGG	AGG	AGG		
157.01	1	nh	ug/g	SD	Table 2				3.39	4.72	7	1.72	0.46	7		
157.01	2	som	%	SD	Table 2				6.21	5.92	7	4.19	3.11	7		
157.01	3	litterbiom	cm	SD	Table 2				1.86	1.86	7	1.21	0.99	7		
164.01	1	biom	g/m2	SD	Table 1		1	"Average transect points 9m, 6m, and 3m"	AGG	AGG	AGG	AGG	AGG	AGG		
164.01	2	soiln	g/m2	SD	Table 1		2	"Average transect points 9m, 6m, and 3m"	AGG	AGG	AGG	AGG	AGG	AGG		
164.01	3	soilcn	NA	SD	Table 1		3	"Average transect points 9m, 6m, and 3m"	AGG	AGG	AGG	AGG	AGG	AGG		
164.01	4	nminz	mg/kg*d	SE	Figure 3	164.xlsx			3.721	0.504	12	1.227	0.285	12		
164.01	5	nitrif	mg/kg*d	SE	Figure 3	164.xlsx			2.61	0.4	12	1.085	0.22	12		
167.01	1	plantcov	%	SE	Table 1		1	Average across 4 sites	AGG	AGG	AGG	AGG	AGG	AGG	this is a canopy openness measures that needs to be converted into plant cover (100-canopyopen = plant cov)	
167.01	2	soilmoi	%	SE	Table 3		2	"Average Apr, May, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.01	3	ph	pH	SE	Table 3			The author pooled across 3 months	8.14	0.06	12	8.09	0.06	12		
167.01	4	som	%	SE	Table 3		3	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.01	5	nitrif	umol/g*d	SE	Figure 2	167.xlsx	4	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.01	6	ammonif	umol/g*d	SE	Figure 2	167.xlsx	5	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.01	7	nminz	umol/g*d	SE	Figure 2	167.xlsx	6	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.01	8	no	ug/g	SE	Figure 3	167.xlsx	7	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		KCl
167.01	9	nh	ug/g	SE	Figure 3	167.xlsx	8	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		KCl
167.01	10	toti	ug/g	SE	Figure 3	167.xlsx	9	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		KCl
167.01	11	no	ug/cm2	SE	Figure 4	167.xlsx	10	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		IER
167.01	12	nh	ug/cm2	SE	Figure 4	167.xlsx	11	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		IER
167.01	13	toti	ug/cm2	SE	Figure 4	167.xlsx	12	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		IER
167.02	1	plantcov	%	SE	Table 1		1	Average across 4 sites	AGG	AGG	AGG	AGG	AGG	AGG		
167.02	2	soilmoi	%	SE	Table 3		2	"Average Apr, May, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.02	3	ph	pH	SE	Table 3			The author pooled across 3 months	7.92	0.09	12	7.83	0.08	12		
167.02	4	som	%	SE	Table 3		3	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.02	5	nitrif	umol/g*d	SE	Figure 2	167.xlsx	4	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.02	6	ammonif	umol/g*d	SE	Figure 2	167.xlsx	5	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.02	7	nminz	umol/g*d	SE	Figure 2	167.xlsx	6	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		
167.02	8	no	ug/g	SE	Figure 3	167.xlsx	7	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		KCl
167.02	9	nh	ug/g	SE	Figure 3	167.xlsx	8	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		KCl
167.02	10	toti	ug/g	SE	Figure 3	167.xlsx	9	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		KCl
167.02	11	no	ug/cm2	SE	Figure 4	167.xlsx	10	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		IER
167.02	12	nh	ug/cm2	SE	Figure 4	167.xlsx	11	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		IER
167.02	13	toti	ug/cm2	SE	Figure 4	167.xlsx	12	"Average Jan, Apr, Jun"	AGG	AGG	AGG	AGG	AGG	AGG		IER
188.01	1	toti	ug/g	notReported	Table 5				20.9	NA	3	19.21	NA	3	Different according to Tukey p<0.05	
188.01	2	ammonif	ug/g*mo	notReported	Table 5				3.93	NA	3	9.34	NA	3		
188.01	3	nitrif	ug/g*mo	notReported	Table 5				8.72	NA	3	6.24	NA	3		
188.01	4	nminz	ug/g*mo	notReported	Table 5				12.65	NA	3	9.59	NA	3		
188.01	5	soiln	%	notReported	Table 3				0.26	NA	3	0.21	NA	3		
188.01	6	soilcn	NA	notReported	Table 3		1	Divide %C by %N	AGG	AGG	AGG	AGG	AGG	AGG		
188.01	7	soilmoi	%	notReported	Table 3				31.6	NA	3	22.6	NA	3		
188.01	8	ph	pH	notReported	Table 3				6.5	NA	3	6.6	NA	3		
188.01	9	litterpercN	%	notReported	Table 1				2.2	NA	3	1.6	NA	3		
188.01	10	littercn	NA	notReported	Table 1				18.9	NA	3	29.4	NA	3		
199.01	1	ph	pH	SE	Table 1				5.12	0	5	5.2	0	5		
199.01	2	soiln	mg/g	SE	Table 1				10.9	0.1	5	11.6	0.2	5		
199.01	3	soilcn	NA	SE	Table 1				1.54	0.08	5	1.68	0.1	5		
199.01	4	nh	ug/10cm2*35d	SE	Table 2		1	"Average Feb, Mar, Apr, May"	AGG	AGG	AGG	AGG	AGG	AGG	Variance data is not reported	
199.01	5	no	ug/10cm2*35d	SE	Table 2		2	"Average Feb, Mar, Apr, May"	AGG	AGG	AGG	AGG	AGG	AGG	Variance data is not reported	
199.01	6	toti	ug/10cm2*35d	SE	Table 2		3	"Average Feb, Mar, Apr, May, add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG	Variance data is not reported	
199.02	1	ph	pH	SE	Table 1				7.9	0	3	7.8	0	3		
199.02	2	soiln	mg/g	SE	Table 1				5.4	0	3	4.3	0.1	3		
199.02	3	soilcn	NA	SE	Table 1				2.45	0.4	3	1.94	0.3	3		
236.01	1	plantcov	%	SE	Table 1		1	Average 2006 and 2007	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	2	biom	g/m2	SE	Table 1		2	Average 2006 and 2007	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	3	percN	%	SE	Table 1		3	"Average 2006 and 2007, Divide biomass N (gN/m2) by biomass (g/m2) and multiply by 100"	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	4	cn	NA	SE	Table 1		4	Average 2006 and 2007	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	5	nh	ug/g	SE	Figure 4	236.xlsx	5	"Average May, Aug, Feb"	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	6	no	ug/g	SE	Figure 4	236.xlsx	6	"Average May, Aug, Feb"	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	7	toti	ug/g	SE	Figure 4	236.xlsx	7	"Average May, Aug, Feb"	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	8	ammonif	ug/g*30d	SE	Figure 4	236.xlsx	8	"Average May, Aug, Feb"	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	9	nitrif	ug/g*30d	SE	Figure 4	236.xlsx	9	"Average May, Aug, Feb"	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	10	nminz	ug/g*30d	SE	Figure 4	236.xlsx	10	"Average May, Aug, Feb"	AGG	AGG	AGG	AGG	AGG	AGG		
236.01	11	littercn	NA	notReported	p.611				80.77	NA	NA	47.98	NA	NA	invaded area value is the same value provided for splittercn Microstegium vimineum since invaded plots were almost monocultures	
249.01	1	nh	ug/g	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	1.875856769	0.461954218	10	2.119433919	0.463084836	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	2	no	ug/g	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	8.181439795	1.239910823	10	2.920847853	0.637594474	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	3	toti	ug/g	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	10.05729656	1.262619705	10	5.040281771	0.812557967	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	4	ammonif	ug/g*hr	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	-0.002890279	0.001477973	10	0.001142676	0.001198439	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	5	nitrif	ug/g*hr	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	0.017207173	0.004369698	10	0.007638354	0.002394635	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	6	nminz	ug/g*hr	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	0.014316894	0.004025872	10	0.00878103	0.00260358	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	7	som	%	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	5.54434632	0.375243213	10	5.79965074	0.367884647	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	8	soilmoi	%	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	22.09152662	0.733071365	10	19.82866469	0.814655564	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.01	9	ph	pH	SE	my data			I already averaged across the 3 sampling dates and 2 soil depths	5.1295	0.071544275	10	4.949	0.112514842	10	"n=10, but the data was aggregated across 3 months and 2 depths"	
249.02	1	nh	ug/g	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	5.179584139	0.52849581	8	6.603029497	0.776723491	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	2	no	ug/g	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	7.790130932	0.73694064	8	8.885969231	0.861364148	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	3	toti	ug/g	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	12.96971507	0.992260934	8	15.48899873	1.192163779	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	4	ammonif	ug/g*hr	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	-0.010206419	0.001336959	8	-0.008353983	0.001970593	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	5	nitrif	ug/g*hr	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	0.030342471	0.002517634	8	0.018575049	0.002428736	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	6	nminz	ug/g*hr	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	0.020136052	0.001950666	8	0.010221066	0.002404425	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	7	som	%	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	4.86003486	0.13556223	8	4.717747889	0.138295896	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	8	soilmoi	%	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	25.57571786	0.351546517	8	25.88388046	0.365621752	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.02	9	ph	pH	SE	my data			I already averaged across the 4 sampling dates and 2 soil depths	4.526771654	0.043050312	8	4.461484375	0.037521334	8	"n=8, but the data was aggregated across 4 months and 2 depths"	
249.03	1	nh	ug/g	SE	my data				0.576109911	0.08389982	15	0.275848904	0.04741996	15		
249.03	2	no	ug/g	SE	my data				0.550418554	0.093998861	15	0.40241786	0.07641173	15		
249.03	3	toti	ug/g	SE	my data				1.126528464	0.112950441	15	0.678266764	0.103016997	15		
249.03	4	ammonif	ug/g*hr	SE	my data				-0.000928864	0.000158907	15	-0.000405379	0.000106902	15		
249.03	5	nitrif	ug/g*hr	SE	my data				0.003199082	0.000703413	15	0.001795565	0.000642069	15		
249.03	6	nminz	ug/g*hr	SE	my data				0.002270218	0.000611432	15	0.001390186	0.000682773	15		
249.03	7	soilmoi	%	SE	my data				9.176682179	2.421164038	15	10.20185495	1.161141763	15		
249.03	8	ph	pH	SE	my data				6.981428571	0.069272968	14	6.897333333	0.071650386	14		
249.03	9	biom	g/pot	SE	my data				4.357646667	0.1649135	15	2.180913333	0.087007124	15		
249.04	1	nh	ug/g	SE	my data				0.424742596	0.077721131	15	0.275848904	0.04741996	15		
249.04	2	no	ug/g	SE	my data				0.431617461	0.07538824	15	0.40241786	0.07641173	15		
249.04	3	toti	ug/g	SE	my data				0.856360057	0.100399252	15	0.678266764	0.103016997	15		
249.04	4	ammonif	ug/g*hr	SE	my data				-0.000636756	0.000151641	15	-0.000405379	0.000106902	15		
249.04	5	nitrif	ug/g*hr	SE	my data				0.001957134	0.000625316	15	0.001795565	0.000642069	15		
249.04	6	nminz	ug/g*hr	SE	my data				0.001320378	0.000599284	15	0.001390186	0.000682773	15		
249.04	7	soilmoi	%	SE	my data				70.50198047	59.38756862	15	10.20185495	1.161141763	15		
249.04	8	ph	pH	SE	my data				7.004285714	0.061721764	14	6.897333333	0.071650386	14		
249.04	9	biom	g/pot	SE	my data				3.975673333	0.189918731	15	2.180913333	0.087007124	15		
249.05	1	nh	ug/g	SE	my data				0.576109911	0.08389982	15	0.221190833	0.009797275	5		
249.05	2	no	ug/g	SE	my data				0.550418554	0.093998861	15	2.573188808	0.234247296	5		
249.05	3	toti	ug/g	SE	my data				1.126528464	0.112950441	15	2.79437964	0.236283559	5		
249.05	4	ammonif	ug/g*hr	SE	my data				-0.000928864	0.000158907	15	-1.23219E-06	4.87315E-05	5		
249.05	5	nitrif	ug/g*hr	SE	my data				0.003199082	0.000703413	15	0.001726157	0.000282678	5		
249.05	6	nminz	ug/g*hr	SE	my data				0.002270218	0.000611432	15	0.001724925	0.000319474	5		
249.05	7	soilmoi	%	SE	my data				9.176682179	2.421164038	15	5.15008611	0.166956366	5		
249.05	8	ph	pH	SE	my data				6.981428571	0.069272968	14	7.294	0.006	5		
249.05	9	biom	g/pot	SE	my data				4.357646667	0.1649135	15	0	0	5	No biomass in unplanted pot	
249.06	1	nh	ug/g	SE	my data				0.424742596	0.077721131	15	0.221190833	0.009797275	5		
249.06	2	no	ug/g	SE	my data				0.431617461	0.07538824	15	2.573188808	0.234247296	5		
249.06	3	toti	ug/g	SE	my data				0.856360057	0.100399252	15	2.79437964	0.236283559	5		
249.06	4	ammonif	ug/g*hr	SE	my data				-0.000636756	0.000151641	15	-1.23219E-06	4.87315E-05	5		
249.06	5	nitrif	ug/g*hr	SE	my data				0.001957134	0.000625316	15	0.001726157	0.000282678	5		
249.06	6	nminz	ug/g*hr	SE	my data				0.001320378	0.000599284	15	0.001724925	0.000319474	5		
249.06	7	soilmoi	%	SE	my data				70.50198047	59.38756862	15	5.15008611	0.166956366	5		
249.06	8	ph	pH	SE	my data				7.004285714	0.061721764	14	7.294	0.006	5		
249.06	9	biom	g/pot	SE	my data				3.975673333	0.189918731	15	0	0	5	No biomass in unplanted pot	
327.01	1	soilmoi	%	SE	Figure 1a	327.xlsx	1	Average across 12 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG	"Assume that variation is presented in SE, since it is used in the text"	
327.01	2	litterbiom	g/m2*y	SE	Figure 2	327.xlsx			13.018	2.958	3	2.959	2.366	3	"Assume that variation is presented in SE, since it is used in the text"	
327.01	3	percN	mg/g	SE	Figure 2	327.xlsx			13.609	0.592	3	5.325	2.367	3	"Assume that variation is presented in SE, since it is used in the text"	
327.01	4	ammonif	mg/m2*y	SE	Figure 4a	327.xlsx			1431.47	294.42	3	517.77	60.914	3	"Assume that variation is presented in SE, since it is used in the text"	
327.01	5	nitrif	mg/m2*y	SE	Figure 4a	327.xlsx			639.59	137.06	3	294.42	30.457	3	"Assume that variation is presented in SE, since it is used in the text"	
327.01	6	nminz	mg/m2*y	SE	Figure 4a	327.xlsx			2060.91	319.8	3	822.34	76.142	3	"Assume that variation is presented in SE, since it is used in the text"	
327.01	7	som	%	SE	Figure 4b	327.xlsx			2.496	0.235	3	0.82	0.036	3	"Assume that variation is presented in SE, since it is used in the text"	
327.01	8	soiln	mg/g	SE	Figure 4b	327.xlsx			0.856	0.135	3	0.093	0.042	3	"Assume that variation is presented in SE, since it is used in the text"	
327.02	1	soilmoi	%	SE	Figure 1a	327.xlsx	1	Average across 12 sampling dates	AGG	AGG	AGG	AGG	AGG	AGG		
327.02	2	ammonif	mg/m2*y	SE	Figure 4a	327.xlsx			1431.47	294.42	3	1538.07	192.89	3		
327.02	3	nitrif	mg/m2*y	SE	Figure 4a	327.xlsx			639.59	137.06	3	624.36	91.371	3		
327.02	4	nminz	mg/m2*y	SE	Figure 4a	327.xlsx			2060.91	319.8	3	2162.44	137.06	3		
327.02	5	som	%	SE	Figure 4b	327.xlsx			2.496	0.235	3	2.824	0.456	3		
327.02	6	soiln	mg/g	SE	Figure 4b	327.xlsx			0.856	0.135	3	0.884	0.107	3		
551.01	1	soilmoi	%	SE	Figure 1b	551.xlsx	1	Average of active and inactive	AGG	AGG	AGG	AGG	AGG	AGG		
551.01	2	nh	g/m2	SE	Table 2				0.026	0.004	48	0.013	0.001	48		
551.01	3	no	g/m2	SE	Table 2				0.049	0.006	48	0.024	0.003	48		
551.01	4	toti	g/m2	SE	Table 2		2	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
551.01	5	microbcn	NA	SE	Table 2				8.11	0.311	48	9.657	0.477	48		
705.01	1	nh	notReported	SE	Table 2				3.23	0.3	6	3.76	0.47	6		
705.01	2	no	notReported	SE	Table 2				1.82	0.22	6	3.23	0.3	6		
705.01	3	toti	notReported	SE	Table 2		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
705.01	4	soilmoi	%	SE	Table 2		2	Average June and Sept	AGG	AGG	AGG	AGG	AGG	AGG		
705.01	5	ph	pH	SE	Table 2				6.04	0.19	6	6.06	0.15	6		
705.01	6	litterbiom	notReported	SE	Table 2				29.28	6.15	6	25.39	4.75	6		
706.01	1	soiln	g/kg	SD	Table 1				1.2	0.1	5	1.7	0.1	5		
706.01	2	nh	ug/kg	SD	Table 1				15.1	0.3	5	4.5	0.2	5		
706.01	3	no	ug/kg	SD	Table 1				24.6	3.4	5	51.9	1.1	5		
706.01	4	ph	pH	SD	Table 1				6.3	0.1	5	5.2	0.1	5		
706.01	5	soilmoi	%	SD	Table 1				28.1	2.2	5	31.8	2.3	5		maximum water holding capacity
707.01	1	nh	ug/g	SE	Table 1				4.92	0.81	5	0.72	0.15	5		
707.01	2	no	ug/g	SE	Table 1				1.55	0.47	5	0.68	0.23	5		
707.01	3	ph	pH	SE	Table 1				5.75	0.12	3	5.63	0.05	3		
707.01	4	som	%	SE	Table 1				2.59	0.18	3	0.33	0.04	3		
707.01	5	toti	ug/g	SE	Table 1		1	Add nh and no	AGG	AGG	AGG	AGG	AGG	AGG		
708.01	1	soiln	g/m2	SE	Figure 4b	708.xlsx			76.4	5.2	2	75.6	6	2		
708.01	2	soilcn	NA	SE	Figure 4ab	708.xlsx	1	Divide total soil C (gC/m2) by N (gN/m2)	AGG	AGG	AGG	AGG	AGG	AGG		
708.01	3	nminz	g/m2*s	SE	Figure 4d	708.xlsx			13.049	2.275	2	9.209	0.96	2		
708.01	4	microbcn	NA	SE	Figure 4ef	708.xlsx	2	Divide microbial C (g/m2) by N(g/m2)	AGG	AGG	AGG	AGG	AGG	AGG		
708.02	1	soiln	g/m2	SE	Figure 4b	708.xlsx			76.4	5.2	2	72.6	2.2	2		
708.02	2	soilcn	NA	SE	Figure 4ab	708.xlsx	1		AGG	AGG	AGG	AGG	AGG	AGG		
708.02	3	nminz	g/m2*s	SE	Figure 4d	708.xlsx			13.049	2.275	2	10.667	1.351	2		
708.02	4	microbcn	NA	SE	Figure 4ef	708.xlsx	2	Divide microbial C (g/m2) by N(g/m2)	AGG	AGG	AGG	AGG	AGG	AGG		
708.03	1	soiln	g/m2	SE	Figure 4b	708.xlsx			76.4	5.2	2	66.8	8.6	2		
708.03	2	soilcn	NA	SE	Figure 4ab	708.xlsx	1		AGG	AGG	AGG	AGG	AGG	AGG		
708.03	3	nminz	g/m2*s	SE	Figure 4d	708.xlsx			13.049	2.275	2	8.036	1.208	2		
708.03	4	microbcn	NA	SE	Figure 4ef	708.xlsx	2	Divide microbial C (g/m2) by N(g/m2)	AGG	AGG	AGG	AGG	AGG	AGG		
708.04	1	soiln	g/m2	SE	Figure 4b	708.xlsx			76.4	5.2	2	63.4	12	2		
708.04	2	soilcn	NA	SE	Figure 4ab	708.xlsx	1		AGG	AGG	AGG	AGG	AGG	AGG		
708.04	3	nminz	g/m2*s	SE	Figure 4d	708.xlsx			13.049	2.275	2	10.738	1.351	2		
708.04	4	microbcn	NA	SE	Figure 4ef	708.xlsx	2	Divide microbial C (g/m2) by N(g/m2)	AGG	AGG	AGG	AGG	AGG	AGG		
708.05	1	soiln	g/m2	SE	Figure 4b	708.xlsx			76.4	5.2	2	81.2	6.2	2		
708.05	2	soilcn	NA	SE	Figure 4ab	708.xlsx	1		AGG	AGG	AGG	AGG	AGG	AGG		
708.05	3	nminz	g/m2*s	SE	Figure 4d	708.xlsx			13.049	2.275	2	10.347	1.102	2		
708.05	4	microbcn	NA	SE	Figure 4ef	708.xlsx	2	Divide microbial C (g/m2) by N(g/m2)	AGG	AGG	AGG	AGG	AGG	AGG		
708.06	1	soiln	g/m2	SE	Figure 4b	708.xlsx			76.4	5.2	2	74	5	2		
708.06	2	soilcn	NA	SE	Figure 4ab	708.xlsx	1		AGG	AGG	AGG	AGG	AGG	AGG		
708.06	3	nminz	g/m2*s	SE	Figure 4d	708.xlsx			13.049	2.275	2	8.96	1.031	2		
708.06	4	microbcn	NA	SE	Figure 4ef	708.xlsx	2	Divide microbial C (g/m2) by N(g/m2)	AGG	AGG	AGG	AGG	AGG	AGG		
712.01	1	nh	mg/m2	SE	Figure 6ab	712.xlsx	1	Average Aug and June	AGG	AGG	AGG	AGG	AGG	AGG		
712.01	2	nminz	mg/m2*d	SE	Figure 6cd	712.xlsx	2	Average Aug and June	AGG	AGG	AGG	AGG	AGG	AGG		
712.01	3	som	g/g	SE	Figure 6g	712.xlsx			0.027	0.005	10	0.022	0.002	10		
713.01	1	ph	pH	SE	Table 1				4.9	0.03	5	4.5	0.1	5		
713.01	2	no	notReported	SE	Table 1				3.4	0.3	5	8.2	2.9	5	unit not reported	
713.02	1	ph	pH	SE	Table 2				5.3	0.1	5	4.5	0.2	5		
713.02	2	no	notReported	SE	Table 2				4	1	5	3	0.1	5	unit not reported	
713.02	3	litterpercN	%	SE	Table 3				1.3	0.09	7	1.6	0.6	7		
713.03	1	ph	pH	SE	Table 2				6	0.2	5	5.3	0.2	5		
713.03	2	no	notReported	SE	Table 2				7.4	0.4	5	7.2	0.5	5		
713.03	3	litterpercN	%	SE	Table 3				1.3	0.08	7	1.2	0.07	7		
713.04	1	ph	pH	SE	Table 2				5.5	0.1	5	4.9	0.1	5		
713.04	2	no	notReported	SE	Table 2				3.6	0.4	5	4	0.1	5		
713.04	3	litterpercN	%	SE	Table 3				1.2	0.05	7	1.1	0.06	7		
715.01	1	nh	ug/g	SE	Table 2			The author pooled 2004 and 2005	0.75	0.21	5	1.6	0.47	3		
715.01	2	no	ug/g	SE	Table 2		1	Average 2004 and 2005	AGG	AGG	AGG	AGG	AGG	AGG		
715.01	3	toti	ug/g	SE	Table 2		2	"Average 2004 and 2005, Add nh and no"	AGG	AGG	AGG	AGG	AGG	AGG		
715.01	4	nitrif	ug/g*d	SE	Figure 1	715.xlsx	3	Average 2004 and 2005	AGG	AGG	AGG	AGG	AGG	AGG		
715.01	5	soiln	%	SE	Table 2				0.04	0.004	5	0.06	0.014	3		
715.01	6	soilcn	NA	SE	Table 2				13	0.4	5	22	2.1	3		
715.01	7	soilmoi	%	SE	Table 2		4	Average 2004 and 2005	AGG	AGG	AGG	AGG	AGG	AGG		
715.01	8	ph	pH	SE	Table 2		5	Average 2004 and 2005	AGG	AGG	AGG	AGG	AGG	AGG		
715.01	9	litterbiom	kg/m2	SE	Table 1				1.43	0.14	5	0.6	0.06	3		
715.01	10	litterpercN	%	SE	Table 1				1.79	0.08	5	1.13	0.17	3		
715.01	11	littercn	NA	SE	Table 1				28	2.31	5	50	14.5	3		
716.01	1	nh	mg/kg	SE	Table 3				2.15	0.25	14	2.59	0.28	14		
716.01	2	no	mg/kg	SE	Table 3				3.38	0.55	14	3.98	0.56	14		
716.01	3	toti	mg/kg	SE	Table 3				5.52	0.65	14	6.57	0.64	14		
716.01	4	ammonif	ug/g*IER	SE	Table 3				7.52	1.61	12	12.81	2.54	12		
716.01	5	nitrif	ug/g*IER	SE	Table 3				19.96	3.83	12	25.58	4.06	12		
716.01	6	nminz	ug/g*IER	SE	Table 3				29.56	4.82	12	42.52	4.93	12		
716.01	7	soiln	g/kg	SE	Table 3				3.48	0.3	14	3.34	0.31	14		
716.01	8	soilcn	NA	SE	Table 3				18.62	0.68	14	19.03	0.8	14		
716.01	9	ph	pH	SE	Table 3				7.6	0.08	14	7.62	0.09	14		
716.01	10	biom	kg/m2	SE	Table 2				0.98	0.09	14	0.56	0.06	14		
716.01	11	percN	mg/g	SE	Table 2				6.89	0.6	14	9.62	0.63	14		
